,Comment,Likes,Time,Subjectivity,Polarity,Analysis
112,"00:00:00 Introduction
00:01:49 Installing Python 3
00:06:10 Your First Python Program
00:08:11 How Python Code Gets Executed 
00:11:24 How Long It Takes To Learn Python 
00:13:03 Variables
00:18:21 Receiving Input
00:22:16 Python Cheat Sheet
00:22:46 Type Conversion
00:29:31 Strings
00:37:36 Formatted Strings
00:40:50 String Methods
00:48:33 Arithmetic Operations
00:51:33 Operator Precedence
00:55:04 Math Functions
00:58:17 If Statements
01:06:32 Logical Operators
01:11:25 Comparison Operators
01:16:17 Weight Converter Program 
01:20:43 While Loops
01:24:07 Building a Guessing Game
01:30:51 Building the Car Game
01:41:48 For Loops
01:47:46 Nested Loops
01:55:50 Lists
02:01:45 2D Lists
02:05:11 My Complete Python Course 
02:06:00 List Methods
02:13:25 Tuples
02:15:34 Unpacking
02:18:21 Dictionaries
02:26:21 Emoji Converter
02:30:31 Functions
02:35:21 Parameters
02:39:24 Keyword Arguments 
02:44:45 Return Statement
02:48:55 Creating a Reusable Function 
02:53:42 Exceptions
02:59:14 Comments
03:01:46 Classes
03:07:46 Constructors
03:14:41 Inheritance
03:19:33 Modules
03:30:12 Packages
03:36:22 Generating Random Values
03:44:37 Working with Directories 
03:50:47 Pypi and Pip
03:55:34 Project 1: Automation with Python
04:10:22 Project 2: Machine Learning with Python 
04:58:37 Project 3: Building a Website with Django
00:00:00 Introduction
00:01:49 Installing Python 3
00:06:10 Your First Python Program
00:08:11 How Python Code Gets Executed 
00:11:24 How Long It Takes To Learn Python 
00:13:03 Variables
00:18:21 Receiving Input
00:22:16 Python Cheat Sheet
00:22:46 Type Conversion
00:29:31 Strings
00:37:36 Formatted Strings
00:40:50 String Methods
00:48:33 Arithmetic Operations
00:51:33 Operator Precedence
00:55:04 Math Functions
00:58:17 If Statements
01:06:32 Logical Operators
01:11:25 Comparison Operators
01:16:17 Weight Converter Program 
01:20:43 While Loops
01:24:07 Building a Guessing Game
01:30:51 Building the Car Game
01:41:48 For Loops
01:47:46 Nested Loops
01:55:50 Lists
02:01:45 2D Lists
02:05:11 My Complete Python Course 
02:06:00 List Methods
02:13:25 Tuples
02:15:34 Unpa lib",278,11 months ago,0.3743589743589744,-0.07692307692307693,Negative
113,"Hi Mosh, Thanks for making such a wonderful python tutorial. The python cheat sheet link given in the description does not work. Could you please help with a working one.
Thank you so much :)",0,2 months ago,0.58,0.38,Positive
114,"Sir, it is really nice to watch your tutorial. It is really easy and the best tutorial on youtube.  You are teaching really nicely. Thank you for your efforts, Sir.
I want to learn Python and work on Machine Learning as it seems interesting and we can get the best job in any other country. i wanna learn python and find a job abroad.",0,2 months ago,0.6154761904761905,0.5726190476190476,Positive
115,Mosh u got me .. the way u did the course it's amazing. I have never thought I would learn python  like this . Pls keep going,0,1 month ago,0.9,0.6000000000000001,Positive
116,"I love how he literally just explains the whole order of operations, something you learn in 6th grade, to youtube",43,1 month ago,0.5,0.35,Positive
117,"I am 18, we were taught a bit coding and stuff at school but I didn't pay much attention. So I'll be off to college in about a month and even though I'm pretty sure they cover the basics of python and other coding languages there, I wanted to cover them in advance just to make sure I don't have any difficulties.

Thanks for the video, though. I haven't watched it completely yet, but it seems really good.",1,1 month ago,0.5690972222222221,0.290625,Positive
118,"Mosh, a man who spent 6 hours of his time teaching people how to code for absolutely free, the absolute legend.",125,5 months ago,0.6,0.16666666666666666,Positive
119,I'm a  MBA aspirant  and I don't have technical knowledge but I'm interested to learn such kind of things. and this tutorial is really helpful for me  to learn basic knowledge of python. Thankyou very much,0,2 months ago,0.3692857142857143,0.18714285714285714,Positive
120,"I've always wanted to learn Python but I've been afraid...
Just 8mins into the video, I'm confident that I can learn it.
Thanks for simplifying this course. I'll surely recommend this course to anyone!
You just gained an additional subscriber!
Just tried to vote only to realise that you already got the award...you definitely deserve it.
Thanks again.",61,5 months ago (edited),0.6460317460317461,0.15446428571428572,Positive
121,"print(""Hi Mosh!"")
Thank you for such great Python content. I'm a beginner and had a question while making the second mini task ""name+color""

I would really appreciate it if you could help me with one question. The question is the following: Can we add an input (color=input(""What's your favorite color? "") command inside the print parentheses?

name = input('What is your name? ')
print('Nice to meet you ' + name + "". What's your favorite color? "")

or it only has to be typed line by line:

name = input('What is your name? ')
print('Nice to meet you ' + name)
color = input(""What's your favorite color? "")

print(name + "" likes the "" + color + "" color :)"")

Thank you very much!",1,2 months ago,0.6776923076923077,0.3480769230769231,Positive
122,One of the best tutorial. Thanks a lot for all your efforts and generosity in sharing your decades of knowledge with us. Be blessed,0,3 weeks ago,0.25,0.6,Positive
123,The part of automation is REALLY AMAZING i got advanced in python !! THANK YOUUUUU,0,1 month ago,0.75,0.6125,Positive
124,Thank u so much Moshhh...Loves your hard work...very helpful to me. I try to back my carrier after a long break ...you are my teacher ...your simple presentation makes me more confident and the feeling of I can do it ..that's great ...Well done ...Thank god ...From Kerala(India ),1,4 weeks ago,0.44776785714285716,0.20729166666666668,Positive
125,Such a good beginner course! Worth spending time :))),0,2 weeks ago,0.55,0.41875,Positive
126,This is the first python lesson I've watched that is actually teaching me  something. Cant wait to be a master at this lol,149,1 year ago,0.37777777777777777,0.35000000000000003,Positive
127,"thank you very much for this interesting video, it really enriched me with so many basic and advanced info that helped  me make my beginner projects, thank you very much for your work. appreciate this FREE course <3 <3 <3",1,1 month ago,0.5677272727272727,0.5018181818181818,Positive
128,"Your teaching is fantastic and easy to understand,  I m MBA background and have 0% knowledge in coding,  but after watching your video I will say I can . Thanks a lot",0,11 days ago (edited),0.6444444444444445,0.3444444444444445,Positive
129,"Great explanation. Could you please advise the path of learning data analysis, as I am a professional accountant and quite good in Excel. My aim is to use python not to develop a product or software, rather the aim is to do data analysis and creating insights, information from the data. Please guide in this.",0,1 day ago,0.4833333333333334,0.5333333333333333,Positive
130,"Beyond commendable. Huge thanks to you and everyone who helped make this phatass amazing video....
Now to actually finish watching it",0,7 hours ago,0.525,0.30000000000000004,Positive
131,"Wow, learning python was really a spiritual journey. cant thank you more",3,3 weeks ago (edited),0.5444444444444444,0.19999999999999998,Positive
132,"print(""This guy is a fantastic teacher. He keeps his student in mind, and I don't feel like I am watching someone telling me how great they are at python."") More power to you brother.",106,9 months ago,0.7166666666666667,0.5666666666666668,Positive
133,"Hi Mosh.
Please can you help me with question.
It's really difficult for me. 

Given the final percentage a student has gotten at the end of a semester, you need to write a program that decides if the student has passed or failed the semester.

If the percentage is higher than or equal to 60, the student has passed the semester. If the percentage is lower than 60, the student has failed the semester.

However, the percentage is not the only thing that determines if a student has passed or failed. A student does not pass if their score is 5 points below the class average.

For instance, if the average class score is 70, the student must have a minimum score of 65 to pass.

If the average class score is 50, the student still needs a score of 60 to pass based on our first condition.",0,3 weeks ago,0.5152777777777778,-0.16249999999999998,Negative
134,Thank you so much for teaching me about python even more.,1,2 weeks ago,0.35,0.35,Positive
135,you took the effort and time to create this project to teach new beginner coders for free. Much love and appreciation!,1,1 month ago,0.6181818181818182,0.38712121212121214,Positive
136,I just started learning Python. I hope to learn more from this. Thank you!,2,1 month ago,0.5,0.625,Positive
137,you are a great teacher. I appreciate all you've done.,0,9 days ago,0.75,0.8,Positive
138,"I've learned a lot in this 6 hr video more, than I have learned in my 4 years in school. You're amazing Mosh!",74,7 months ago,0.7,0.625,Positive
139,"아직 다 듣지는 못했는데, 시간이 될 때마다 틈틈이 꼭 들어서 파이썬 독학에 성공해 보고 싶어요. 유익하고 좋은 영상 정말 감사합니다 큰 도움이 됐어요!",0,11 days ago,0.0,0.0,Neutral
140,"Hi Mosh, 
 (I am not so good at English, so pardon me of my grammer mistakes) I am following your 6 hour python course beginners since last week. I am so grateful that I found you. Your teaching is amazing. And you are giving problems to workout on frequent intervals(I like that).
So about myself, I am a Bsc Computer Science student in India, Kerala. My love for programming made me to took that course. But I am so confused that why these universities are bringing maths into this course. I know maths is necessary. But I am studying too much calculas here. Because of these I am not able to study computer science subjects. But when I found your channel, I felt that this is the better place for me to study programming rather than my college.
       So summing up I was saying that my passion and interest for programming has increased after meeting you. I am into programming not for money, I just love programming. But, still I have no idea about what my future job could be. But I am sure that it will something that depend on coding. And Mosh, you will always have a space in my heart for your hardwork. So, thank you and please keep up the great work Mosh. Love from India🇮🇳♥️.",42,2 months ago,0.5032679738562091,0.25,Positive
141,"Thank you for your work, man. It is really gold.",0,8 days ago,0.2,0.2,Positive
142,"Hi Mosh, Great video! I assume that at the end of each session we are reusing the same ""App.py"" file. How do we save the file if we want to? Will it save online or on our computer?",0,1 month ago,0.4375,0.5,Positive
143,"I am 57 years old and have decided that I need to know Python for work.  Am now after about 10 -  11hours of study  2 & 3/4 hours through the vid and am fully enjoying it.  Pleasantly suppressed that there is so much similarity with Basic that I last used in the 80s!!!!!!

A fantastic free vid and as a result I will be buying some of the training packages.",0,5 days ago,0.4822916666666667,0.29166666666666663,Positive
144,"It is interesting that the method find for String returns -1 when it cannot find the character that you are looking for.
However, then you can use index position -1 in a String to find a character.
Therefore you cannot directly use the result from find to retrieve the character at an index position.
But -1 is the position of the last character of the string...

I am aware that ""find"" is a method, but Python allows position -1. Even when this is right, I find that for a string this is a bit inconsistent :)",0,1 month ago,0.4587301587301587,0.2726190476190476,Positive
145,"Thank you, sir.  You doing great things good luck for your journey❤️",0,2 weeks ago,0.675,0.75,Positive
146,"TABLE OF CONTENT
 
00:00:00 Introduction
00:01:49 Installing Python 3
00:06:10 Your First Python Program
00:08:11 How Python Code Gets Executed 
00:11:24 How Long It Takes To Learn Python 
00:13:03 Variables
00:18:21 Receiving Input
00:22:16 Python Cheat Sheet
00:22:46 Type Conversion
00:29:31 Strings
00:37:36 Formatted Strings
00:40:50 String Methods
00:48:33 Arithmetic Operations
00:51:33 Operator Precedence
00:55:04 Math Functions
00:58:17 If Statements
01:06:32 Logical Operators
01:11:25 Comparison Operators
01:16:17 Weight Converter Program 
01:20:43 While Loops
01:24:07 Building a Guessing Game
01:30:51 Building the Car Game
01:41:48 For Loops
01:47:46 Nested Loops
01:55:50 Lists
02:01:45 2D Lists
02:05:11 My Complete Python Course 
02:06:00 List Methods
02:13:25 Tuples
02:15:34 Unpacking
02:18:21 Dictionaries
02:26:21 Emoji Converter
02:30:31 Functions
02:35:21 Parameters
02:39:24 Keyword Arguments 
02:44:45 Return Statement
02:48:55 Creating a Reusable Function 
02:53:42 Exceptions
02:59:14 Comments
03:01:46 Classes
03:07:46 Constructors
03:14:41 Inheritance
03:19:33 Modules
03:30:12 Packages
03:36:22 Generating Random Values
03:44:37 Working with Directories 
03:50:47 Pypi and Pip
03:55:34 Project 1: Automation with Python
04:10:22 Project 2: Machine Learning with Python 
04:58:37 Project 3: Building a Website with Django",28,1 year ago,0.3833333333333333,-0.10714285714285714,Negative
147,"Im going to buy the complete python mastery class, is the 6 hours of this video included in the 12 hours master course? or is it brand new material?
Amazing video!",1,2 months ago,0.5848484848484848,0.3287878787878788,Positive
148,"I would love to learn Python, gain knowledge and become a programmer.
Thanks to you! for the free tutorial.",1,4 weeks ago,0.5333333333333333,0.3833333333333333,Positive
149,"Hello Mosh, good day. Thanks so much for the tutorial. I can't thank you enough. However, I have a challenge. My pycharm does not have the finder function, that I can use to add the excel file into my project. Please, can you advise me on what to do?",0,1 month ago,0.375,0.27499999999999997,Positive
150,Thanks for th awesome explanations and perfect for beginners.,0,1 month ago,0.7333333333333334,0.7333333333333334,Positive
151,Mosh Love your courses !!! Because of you I am building my career and I got confidence .. love you to the core.. 🙂,1,1 month ago,0.6,0.73828125,Positive
152,"TABLE OF CONTENT
 
00:00:00​ Introduction
00:01:49​ Installing Python 3
00:06:10​ Your First Python Program
00:08:11​ How Python Code Gets Executed 
00:11:24​ How Long It Takes To Learn Python 
00:13:03​ Variables
00:18:21​ Receiving Input
00:22:16​ Python Cheat Sheet
00:22:46​ Type Conversion
00:29:31​ Strings
00:37:36​ Formatted Strings
00:40:50​ String Methods
00:48:33​ Arithmetic Operations
00:51:33​ Operator Precedence
00:55:04​ Math Functions
00:58:17​ If Statements
01:06:32​ Logical Operators
01:11:25​ Comparison Operators
01:16:17​ Weight Converter Program 
01:20:43​ While Loops
01:24:07​ Building a Guessing Game
01:30:51​ Building the Car Game
01:41:48​ For Loops
01:47:46​ Nested Loops
01:55:50​ Lists
02:01:45​ 2D Lists
02:05:11​ My Complete Python Course 
02:06:00​ List Methods
02:13:25​ Tuples
02:15:34​ Unpacking
02:18:21​ Dictionaries
02:26:21​ Emoji Converter
02:30:31​ Functions
02:35:21​ Parameters
02:39:24​ Keyword Arguments 
02:44:45​ Return Statement
02:48:55​ Creating a Reusable Function 
02:53:42​ Exceptions
02:59:14​ Comments
03:01:46​ Classes
03:07:46​ Constructors
03:14:41​ Inheritance
03:19:33​ Modules
03:30:12​ Packages
03:36:22​ Generating Random Values
03:44:37​ Working with Directories 
03:50:47​ Pypi and Pip
03:55:34​ Project 1: Automation with Python
04:10:22​ Project 2: Machine Learning with Python 
04:58:37​ Project 3: Building a Website with Django",240,8 months ago,0.3833333333333333,-0.10714285714285714,Negative
153,Your tutorial was super helpful and super easy to understand thanks for the tutorial,0,2 months ago,0.5916666666666667,0.325,Positive
154,"The best tutorial I have ever watched, super easy 👍",0,3 weeks ago,0.6,0.5888888888888889,Positive
155,"Today completed it, man the stuff I learned, this guy is GOOD. Thanks Mosh <3",0,5 days ago,0.6,0.6333333333333333,Positive
156,"Thank you so much for making this 6H video for free, one day when I will master coding I will remember how I began, my beginning is this video. Thank u🤍🕊👏",2,2 months ago,0.5,0.30000000000000004,Positive
157,"Thank you sir 
You are  really great,  you are explaining python in very simple language with free of cost, I am the robot programmer, reason  learning python  is   for machine learning and artificial intelligence.",0,9 days ago,0.7535714285714286,0.15000000000000005,Positive
158,"Mosh, your course really helped me, especially your voice, it's so friendly like my best friend is talking to me, your teaching skills are way more than that of a good teacher. I wish I could buy your full course, that would have been fantastic, thanks again for the best python tutorial. I'd look forward to the day when I can teach people to code like you do; if you read this comment do bless me. I hope you're safe.

while True:
    print('Mosh is the best!')",42,1 year ago,0.5000000000000001,0.5057692307692307,Positive
159,"question for ""building the car"" 1:32:40 what is the reason for defining the variable ""command"" with """" (2 apostrope?) or empty string? I made the same exact solution but without that and started  in the condition ""while true""  and run ok",0,1 month ago,0.40499999999999997,0.2,Positive
